Asset 1,Asset 2,Correlation
HDFCBANK.NS,HDFCBANK.NS,1.0
ICICIBANK.NS,HDFCBANK.NS,0.5316321692549807
INFY.NS,HDFCBANK.NS,0.25839035538293004
RELIANCE.NS,HDFCBANK.NS,0.36344833835113827
TCS.NS,HDFCBANK.NS,0.2296951221460442
^NSEI,HDFCBANK.NS,0.6944744478335859
HDFCBANK.NS,ICICIBANK.NS,0.5316321692549807
ICICIBANK.NS,ICICIBANK.NS,1.0
INFY.NS,ICICIBANK.NS,0.2649894018868526
RELIANCE.NS,ICICIBANK.NS,0.3671837479226001
TCS.NS,ICICIBANK.NS,0.21887879834699708
^NSEI,ICICIBANK.NS,0.6857096937244056
HDFCBANK.NS,INFY.NS,0.25839035538293004
ICICIBANK.NS,INFY.NS,0.2649894018868526
INFY.NS,INFY.NS,1.0
RELIANCE.NS,INFY.NS,0.2734628426568721
TCS.NS,INFY.NS,0.702127790739697
^NSEI,INFY.NS,0.5549082985249231
HDFCBANK.NS,RELIANCE.NS,0.36344833835113827
ICICIBANK.NS,RELIANCE.NS,0.3671837479226001
INFY.NS,RELIANCE.NS,0.2734628426568721
RELIANCE.NS,RELIANCE.NS,1.0
TCS.NS,RELIANCE.NS,0.29158231864248113
^NSEI,RELIANCE.NS,0.6899674215385252
HDFCBANK.NS,TCS.NS,0.2296951221460442
ICICIBANK.NS,TCS.NS,0.21887879834699708
INFY.NS,TCS.NS,0.702127790739697
RELIANCE.NS,TCS.NS,0.29158231864248113
TCS.NS,TCS.NS,1.0
^NSEI,TCS.NS,0.5287847615086586
HDFCBANK.NS,^NSEI,0.6944744478335859
ICICIBANK.NS,^NSEI,0.6857096937244056
INFY.NS,^NSEI,0.5549082985249231
RELIANCE.NS,^NSEI,0.6899674215385252
TCS.NS,^NSEI,0.5287847615086586
^NSEI,^NSEI,1.0
